distMean,outcome,rule,is_oddball
31.88557712,0,-1,1
26.49476797,8,-1,0
12.2517526,16,-1,0
13.62220858,44,-1,0
26.05713872,46,-1,0
46.3296039,133,-1,1
252.0323486,273,-1,0
259.5733416,278,-1,0
263.2155914,267,-1,0
274.8343876,261,-1,0
284.4382625,319,-1,1
286.4576382,342,-1,0
267.5295845,262,-1,0
265.6286709,258,-1,0
277.6813484,274,-1,0
280.7645417,35,-1,1
277.9045618,279,-1,0
286.4676102,289,-1,0
292.2873781,285,-1,0
315.7017576,327,-1,0
308.5704009,287,-1,0
316.6465669,208,-1,1
300.7734814,259,-1,0
304.612132,327,-1,0
306.0689195,315,-1,0
300.0006376,265,-1,0
298.3861896,275,-1,0
297.2621018,281,-1,0
288.1898668,283,-1,0
285.3131828,312,-1,1
271.2521534,274,-1,0
268.4209829,263,-1,0
255.3489265,262,-1,0
271.5047968,219,-1,1
266.6837829,268,-1,0
266.7758975,264,-1,0
241.1458198,254,-1,0
255.8213491,254,-1,0
255.5999869,261,-1,0
250.2917938,196,-1,1
233.0026718,236,-1,0
232.639698,221,-1,0
214.9930225,191,-1,0
210.1039858,162,-1,1
221.9063995,241,-1,0
238.1228869,254,-1,0
239.9400232,252,-1,0
233.084228,252,-1,0
234.5540169,243,-1,0
234.2291648,233,-1,0
223.3678674,321,-1,1
222.9787136,221,-1,0
222.319899,253,-1,0
238.8333277,225,-1,0
245.9591486,235,-1,0
227.0856629,197,-1,0
215.9783636,209,-1,0
223.6518797,216,-1,0
201.791086,241,-1,0
204.3276767,156,-1,0
224.8845959,303,-1,1
217.6258942,212,-1,0
218.5223152,222,-1,0
210.3556589,231,-1,0
216.9513864,208,-1,0
215.2400381,219,-1,0
177.4859015,205,-1,0
195.2388203,198,-1,0
191.4136085,191,-1,0
194.5088456,173,-1,0
192.9940654,311,-1,1
188.8316758,173,-1,0
197.3724978,214,-1,0
194.354089,185,-1,0
196.7400756,212,-1,0
211.4879292,192,-1,0
183.0533811,169,-1,0
152.2196049,161,-1,0
143.963445,146,-1,0
132.0766006,149,-1,0
133.0087295,143,-1,0
139.9564884,147,-1,0
156.5361806,166,-1,0
156.7310939,76,-1,1
132.8975506,161,-1,0
133.302785,127,-1,0
140.0180759,156,-1,0
153.4942064,164,-1,0
155.0241854,120,-1,0
140.4945236,141,-1,0
133.0173323,119,-1,0
111.6957251,135,-1,0
124.3310732,133,-1,0
120.6628501,99,-1,0
138.5611219,104,-1,0
134.0165816,116,-1,0
142.4937356,129,-1,0
145.4060431,131,-1,0
137.6929632,113,-1,0
131.3788726,181,-1,1
129.6135522,141,-1,0
141.6859729,135,-1,0
154.8990608,155,-1,0
146.8901501,202,-1,1
176.2345244,186,-1,0
159.8497657,183,-1,0
153.5305536,168,-1,0
159.901199,126,-1,0
148.7805719,140,-1,0
142.4555545,121,-1,0
142.8414515,129,-1,1
139.7333738,130,-1,0
139.2155524,141,-1,0
130.9617727,109,-1,0
122.0712953,112,-1,0
113.3441792,151,-1,0
110.9213018,114,-1,0
107.0008659,258,-1,1
106.5615333,113,-1,0
106.1416312,100,-1,0
105.3720525,109,-1,0
118.9620492,130,-1,0
116.3222724,96,-1,0
109.3238049,127,-1,0
112.8133492,109,-1,0
111.3907164,103,-1,0
